date,ticker,open,high,low,close
05/31/2020 00:00:00,GOOG,66.43,72.05,64.95,71.45
04/30/2020 00:00:00,GOOG,56.10,68.00,53.99,67.43
03/31/2020 00:00:00,GOOG,67.58,70.51,50.68,58.14
02/29/2020 00:00:00,GOOG,73.10,76.61,63.55,66.97
01/31/2020 00:00:00,GOOG,67.08,75.16,67.08,71.71
08/31/2023 00:00:00,AMZN,133.55,143.63,126.41,140.57
07/31/2023 00:00:00,AMZN,130.82,136.65,125.92,133.68
06/30/2023 00:00:00,AMZN,120.69,131.49,119.93,130.36
05/31/2023 00:00:00,AMZN,104.95,122.92,101.15,120.58
04/30/2023 00:00:00,AMZN,102.30,110.86,97.71,105.45
03/31/2023 00:00:00,AMZN,93.87,103.49,88.12,103.29
02/28/2023 00:00:00,AMZN,102.53,114.00,92.32,94.23
01/31/2023 00:00:00,AMZN,85.46,103.49,81.43,103.13
12/31/2022 00:00:00,AMZN,96.99,97.23,81.69,84.00
11/30/2022 00:00:00,AMZN,103.99,104.58,85.87,96.54
10/31/2022 00:00:00,AMZN,113.58,123.00,97.66,102.44
09/30/2022 00:00:00,AMZN,126.00,136.49,112.06,113.00
08/31/2022 00:00:00,AMZN,134.96,146.57,126.74,126.77
07/31/2022 00:00:00,AMZN,106.29,137.65,105.85,134.95
06/30/2022 00:00:00,AMZN,122.26,128.99,101.43,106.21
05/31/2022 00:00:00,AMZN,122.40,126.22,101.26,120.21
04/30/2022 00:00:00,AMZN,164.15,168.39,121.63,124.28
03/31/2022 00:00:00,AMZN,152.73,170.83,133.57,163.00
02/28/2022 00:00:00,AMZN,150.00,163.83,138.33,153.56
01/31/2022 00:00:00,AMZN,167.55,171.40,135.35,149.57
12/31/2021 00:00:00,AMZN,177.25,177.99,165.20,166.72
11/30/2021 00:00:00,AMZN,168.09,188.11,164.18,175.35
10/31/2021 00:00:00,AMZN,164.45,173.95,158.81,168.62
09/30/2021 00:00:00,AMZN,174.82,177.50,163.70,164.25
08/31/2021 00:00:00,AMZN,167.65,173.63,158.79,173.54
07/31/2021 00:00:00,AMZN,171.73,188.65,165.35,166.38
06/30/2021 00:00:00,AMZN,162.18,176.24,158.61,172.01
05/31/2021 00:00:00,AMZN,174.24,174.33,156.37,161.15
04/30/2021 00:00:00,AMZN,155.90,177.70,155.78,173.37
03/31/2021 00:00:00,AMZN,156.39,159.10,144.05,154.70
02/28/2021 00:00:00,AMZN,162.12,171.70,151.84,154.65
01/31/2021 00:00:00,AMZN,163.50,168.19,154.30,160.31
12/31/2020 00:00:00,AMZN,159.43,167.53,153.64,162.85
11/30/2020 00:00:00,AMZN,153.09,168.34,147.51,158.40
10/31/2020 00:00:00,AMZN,160.40,174.81,150.95,151.81
09/30/2020 00:00:00,AMZN,174.48,177.61,143.55,157.44
08/31/2020 00:00:00,AMZN,159.03,174.75,153.65,172.55
07/31/2020 00:00:00,AMZN,137.90,167.21,137.70,158.23
06/30/2020 00:00:00,AMZN,122.40,139.80,121.86,137.94
05/31/2020 00:00:00,AMZN,116.84,126.27,112.82,122.12
04/30/2020 00:00:00,AMZN,96.65,123.75,94.46,123.70
03/31/2020 00:00:00,AMZN,95.32,99.82,81.30,97.49
02/29/2020 00:00:00,AMZN,100.53,109.30,90.56,94.19
01/31/2020 00:00:00,AMZN,93.75,102.79,90.77,100.44
08/31/2023 00:00:00,META,317.34,324.12,298.29,302.69
07/31/2023 00:00:00,META,286.65,326.11,284.85,318.60
06/30/2023 00:00:00,META,265.90,289.79,258.88,286.98
05/31/2023 00:00:00,META,238.62,268.65,229.85,264.72
04/30/2023 00:00:00,META,208.84,241.69,207.13,240.32
03/31/2023 00:00:00,META,174.59,212.17,171.43,211.94
02/28/2023 00:00:00,META,148.03,197.16,147.06,174.94
01/31/2023 00:00:00,META,122.82,153.19,122.28,148.97
12/31/2022 00:00:00,META,119.20,124.67,112.46,120.34
11/30/2022 00:00:00,META,94.33,118.74,88.09,118.10
10/31/2022 00:00:00,META,137.14,142.39,92.60,93.16
09/30/2022 00:00:00,META,163.58,171.39,134.12,135.68
08/31/2022 00:00:00,META,157.25,183.10,155.23,162.93
07/31/2022 00:00:00,META,160.31,183.85,154.85,159.10
06/30/2022 00:00:00,META,196.51,202.03,154.25,161.25
05/31/2022 00:00:00,META,201.16,224.30,176.11,193.64
04/30/2022 00:00:00,META,224.55,236.86,169.00,200.47
03/31/2022 00:00:00,META,209.87,231.15,185.82,222.36
02/28/2022 00:00:00,META,314.55,328.00,190.22,211.03
01/31/2022 00:00:00,META,338.30,343.09,289.01,313.26
12/31/2021 00:00:00,META,330.29,352.71,299.50,336.35
11/30/2021 00:00:00,META,326.04,353.83,323.20,324.46
10/31/2021 00:00:00,META,341.61,345.02,308.11,323.57
09/30/2021 00:00:00,META,379.59,384.33,338.15,339.39
08/31/2021 00:00:00,META,358.10,382.76,347.70,379.38
07/31/2021 00:00:00,META,346.82,377.55,334.50,356.30
06/30/2021 00:00:00,META,330.15,358.14,323.48,347.71
05/31/2021 00:00:00,META,326.17,333.78,298.19,328.73
04/30/2021 00:00:00,META,298.40,331.81,296.04,325.08
03/31/2021 00:00:00,META,260.82,299.70,253.50,294.53
02/28/2021 00:00:00,META,259.52,276.60,254.04,257.62
01/31/2021 00:00:00,META,274.78,286.79,244.61,258.33
12/31/2020 00:00:00,META,279.16,291.78,264.63,273.16
11/30/2020 00:00:00,META,264.60,297.38,257.34,276.97
10/31/2020 00:00:00,META,265.35,285.24,254.82,263.11
09/30/2020 00:00:00,META,294.71,303.60,244.13,261.90
08/31/2020 00:00:00,META,252.65,304.67,247.43,293.20
07/31/2020 00:00:00,META,228.50,255.85,226.90,253.67
06/30/2020 00:00:00,META,224.59,245.19,207.11,227.07
05/31/2020 00:00:00,META,201.60,240.90,198.76,225.09
04/30/2020 00:00:00,META,161.62,209.69,150.83,204.71
03/31/2020 00:00:00,META,194.03,197.24,137.10,166.80
02/29/2020 00:00:00,META,203.44,218.76,181.82,192.47
01/31/2020 00:00:00,META,206.75,224.20,201.06,201.91
08/31/2023 00:00:00,MSFT,335.19,338.54,319.21,324.04
07/31/2023 00:00:00,MSFT,339.19,366.78,327.00,335.92
06/30/2023 00:00:00,MSFT,325.93,351.47,322.50,340.54
05/31/2023 00:00:00,MSFT,306.97,335.94,303.40,328.39
04/30/2023 00:00:00,MSFT,286.52,308.93,275.37,307.26
03/31/2023 00:00:00,MSFT,250.76,289.27,245.61,288.30
02/28/2023 00:00:00,MSFT,248.00,276.76,245.47,249.42
01/31/2023 00:00:00,MSFT,243.08,249.83,219.35,247.81
12/31/2022 00:00:00,MSFT,253.87,263.92,233.87,239.82
11/30/2022 00:00:00,MSFT,234.60,255.33,213.43,255.14
10/31/2022 00:00:00,MSFT,235.41,251.04,219.13,232.13
09/30/2022 00:00:00,MSFT,258.87,267.45,232.73,232.90
08/31/2022 00:00:00,MSFT,277.82,294.18,260.66,261.47
07/31/2022 00:00:00,MSFT,256.39,282.00,245.94,280.74
06/30/2022 00:00:00,MSFT,275.20,277.69,241.51,256.83
05/31/2022 00:00:00,MSFT,277.71,290.88,246.44,271.87
04/30/2022 00:00:00,MSFT,309.37,315.11,270.00,277.52
03/31/2022 00:00:00,MSFT,296.40,315.95,270.00,308.31
02/28/2022 00:00:00,MSFT,310.41,315.12,271.52,298.79
